, Trial_ID,pos,Percent_Captures,Capture_Count,RSSI,Time_to_Discovery,Trial,Listener Latency,Adv Latency,Adv Power
65,8.0,2.4,0.03358024691358025,68.0,-101.67647058823529,1900.0,8.0,Balanced,Low_Latency,Ultra_low
66,8.0,3.6,0.054814814814814816,111.0,-101.29729729729729,1901.0,8.0,Balanced,Low_Latency,Ultra_low
67,8.0,6.0,0.19950617283950614,404.0,-99.76980198019804,1901.0,8.0,Balanced,Low_Latency,Ultra_low
68,8.0,7.199999999999998,0.16246913580246913,329.0,-99.62006079027357,1900.0,8.0,Balanced,Low_Latency,Ultra_low
69,8.0,8.4,0.0014814814814814814,3.0,-103.66666666666669,2061.0,8.0,Balanced,Low_Latency,Ultra_low
70,8.0,9.6,0.0069135802469135815,14.0,-103.07142857142857,1903.0,8.0,Balanced,Low_Latency,Ultra_low
71,9.0,1.2,0.11753371868978806,122.0,-76.71311475409836,2624.0,9.0,Balanced,Low_Power,High
72,9.0,2.4,0.12427745664739885,129.0,-90.56589147286822,2620.0,9.0,Balanced,Low_Power,High
73,9.0,3.6,0.1184971098265896,123.0,-87.96747967479675,2622.0,9.0,Balanced,Low_Power,High
74,9.0,4.8,0.08766859344894026,91.0,-92.54945054945057,2622.0,9.0,Balanced,Low_Power,High
75,9.0,6.0,0.12620423892100194,131.0,-94.9618320610687,2622.0,9.0,Balanced,Low_Power,High
76,9.0,7.199999999999998,0.10982658959537572,114.0,-84.34210526315789,2621.0,9.0,Balanced,Low_Power,High
77,9.0,8.4,0.07129094412331406,74.0,-99.68918918918921,2622.0,9.0,Balanced,Low_Power,High
78,9.0,9.6,0.1329479768786127,138.0,-87.47101449275362,2620.0,9.0,Balanced,Low_Power,High
79,9.0,10.8,0.1117533718689788,116.0,-92.29310344827586,2622.0,9.0,Balanced,Low_Power,High
80,10.0,1.2,0.11597151576805695,114.0,-83.13157894736842,3401.0,10.0,Balanced,Low_Power,Medium
81,10.0,2.4,0.08240081383519837,81.0,-94.71604938271605,3400.0,10.0,Balanced,Low_Power,Medium
82,10.0,3.6,0.09766022380467956,96.0,-93.33333333333331,3406.0,10.0,Balanced,Low_Power,Medium
83,10.0,4.8,0.06307222787385554,62.0,-97.43548387096773,3402.0,10.0,Balanced,Low_Power,Medium
84,10.0,6.0,0.12614445574771108,124.0,-89.08870967741936,3401.0,10.0,Balanced,Low_Power,Medium
85,10.0,7.199999999999998,0.11495422177009156,113.0,-90.141592920354,3400.0,10.0,Balanced,Low_Power,Medium
86,10.0,8.4,0.11495422177009156,113.0,-94.61061946902656,3400.0,10.0,Balanced,Low_Power,Medium
87,10.0,9.6,0.1190233977619532,117.0,-94.01709401709402,3400.0,10.0,Balanced,Low_Power,Medium
88,10.0,10.8,0.09053916581892167,89.0,-98.21348314606743,3400.0,10.0,Balanced,Low_Power,Medium
89,10.0,12.0,0.0752797558494405,74.0,-99.66216216216215,3401.0,10.0,Balanced,Low_Power,Medium
90,11.0,1.2,0.1851851851851852,130.0,-88.22307692307692,4481.0,11.0,Balanced,Low_Power,Low
91,11.0,2.4,0.09686609686609686,68.0,-98.10294117647058,4480.0,11.0,Balanced,Low_Power,Low
92,11.0,3.6,0.1225071225071225,86.0,-97.33720930232558,4480.0,11.0,Balanced,Low_Power,Low
93,11.0,4.8,0.018518518518518517,13.0,-100.3846153846154,4486.0,11.0,Balanced,Low_Power,Low
94,11.0,6.0,0.1737891737891738,122.0,-95.22131147540985,4483.0,11.0,Balanced,Low_Power,Low
95,11.0,7.199999999999998,0.1737891737891738,122.0,-96.18032786885244,4481.0,11.0,Balanced,Low_Power,Low
96,11.0,8.4,0.10826210826210826,76.0,-99.5394736842105,4481.0,11.0,Balanced,Low_Power,Low
97,11.0,9.6,0.10541310541310543,74.0,-98.43243243243244,4480.0,11.0,Balanced,Low_Power,Low
98,11.0,10.8,0.015669515669515667,11.0,-102.45454545454544,4533.0,11.0,Balanced,Low_Power,Low
99,12.0,1.2,0.4573643410852713,118.0,-94.42372881355931,3718.0,12.0,Balanced,Low_Power,Ultra_low
100,12.0,2.4,0.1124031007751938,29.0,-100.93103448275862,3718.0,12.0,Balanced,Low_Power,Ultra_low
101,12.0,3.6,0.03875968992248062,10.0,-101.3,3711.0,12.0,Balanced,Low_Power,Ultra_low
102,12.0,6.0,0.1821705426356589,47.0,-99.61702127659576,3719.0,12.0,Balanced,Low_Power,Ultra_low
103,12.0,7.199999999999998,0.14728682170542634,38.0,-98.86842105263158,3704.0,12.0,Balanced,Low_Power,Ultra_low
104,12.0,8.4,0.015503875968992246,4.0,-102.75,3630.0,12.0,Balanced,Low_Power,Ultra_low
105,12.0,9.6,0.04651162790697674,12.0,-102.5,3671.0,12.0,Balanced,Low_Power,Ultra_low
106,14.0,1.2,0.12518778167250874,750.0,-81.91199999999999,2219.0,14.0,Low_Latency,Balanced,Medium
107,14.0,2.4,0.1170088466032382,701.0,-96.3323823109843,2219.0,14.0,Low_Latency,Balanced,Medium
108,14.0,3.6,0.08913370055082624,534.0,-94.9119850187266,2219.0,14.0,Low_Latency,Balanced,Medium
109,14.0,4.8,0.03355032548823235,201.0,-98.24875621890548,2215.0,14.0,Low_Latency,Balanced,Medium
110,14.0,6.0,0.12034718744783846,721.0,-88.37170596393898,2219.0,14.0,Low_Latency,Balanced,Medium
111,14.0,7.199999999999998,0.13770655983975966,825.0,-90.10060606060604,2219.0,14.0,Low_Latency,Balanced,Medium
112,14.0,8.4,0.11233516942079788,673.0,-94.66419019316493,2219.0,14.0,Low_Latency,Balanced,Medium
113,14.0,9.6,0.1255216157569688,752.0,-93.81117021276596,2219.0,14.0,Low_Latency,Balanced,Medium
114,14.0,10.8,0.06793523618761475,407.0,-97.84520884520883,2219.0,14.0,Low_Latency,Balanced,Medium
115,14.0,12.0,0.07127357703221499,427.0,-99.2576112412178,2219.0,14.0,Low_Latency,Balanced,Medium
116,15.0,1.2,0.1998972250770812,778.0,-88.48071979434447,1499.0,15.0,Low_Latency,Balanced,Low
117,15.0,2.4,0.08093525179856115,315.0,-100.7015873015873,1499.0,15.0,Low_Latency,Balanced,Low
118,15.0,3.6,0.014645426515930112,57.0,-102.38596491228071,1497.0,15.0,Low_Latency,Balanced,Low
119,15.0,4.8,0.052672147995889006,205.0,-99.82926829268291,1499.0,15.0,Low_Latency,Balanced,Low
120,15.0,6.0,0.1991264131551901,775.0,-93.97548387096774,1499.0,15.0,Low_Latency,Balanced,Low
121,15.0,7.199999999999998,0.2155704008221994,839.0,-95.98331346841478,1499.0,15.0,Low_Latency,Balanced,Low
122,15.0,8.4,0.105344295991778,410.0,-99.58536585365853,1499.0,15.0,Low_Latency,Balanced,Low
123,15.0,9.6,0.12589928057553956,490.0,-98.7530612244898,1499.0,15.0,Low_Latency,Balanced,Low
124,15.0,10.8,0.00539568345323741,21.0,-102.38095238095238,1482.0,15.0,Low_Latency,Balanced,Low
125,15.0,12.0,0.0005138746145940392,2.0,-103.5,1442.0,15.0,Low_Latency,Balanced,Low
126,16.0,1.2,0.5106796116504855,789.0,-94.52598225602028,539.0,16.0,Low_Latency,Balanced,Ultra_low
127,16.0,6.0,0.3029126213592233,468.0,-99.58974358974359,539.0,16.0,Low_Latency,Balanced,Ultra_low
128,16.0,7.199999999999998,0.1656957928802589,256.0,-99.09765625,539.0,16.0,Low_Latency,Balanced,Ultra_low
129,16.0,8.4,0.0012944983818770227,2.0,-102.5,445.0,16.0,Low_Latency,Balanced,Ultra_low
130,16.0,9.6,0.019417475728155338,30.0,-102.7,528.0,16.0,Low_Latency,Balanced,Ultra_low
131,17.0,1.2,0.09990697674418604,1611.0,-75.37554314090627,1500.0,17.0,Low_Latency,Low_Latency,High
132,17.0,2.4,0.10610852713178294,1711.0,-87.2273524254822,1500.0,17.0,Low_Latency,Low_Latency,High
133,17.0,3.6,0.06734883720930232,1086.0,-92.13627992633518,1500.0,17.0,Low_Latency,Low_Latency,High
134,17.0,4.8,0.1093953488372093,1764.0,-90.97562358276643,1500.0,17.0,Low_Latency,Low_Latency,High
135,17.0,6.0,0.11534883720930232,1860.0,-80.13225806451612,1500.0,17.0,Low_Latency,Low_Latency,High
136,17.0,7.199999999999998,0.10251162790697674,1653.0,-82.51845130066546,1500.0,17.0,Low_Latency,Low_Latency,High
137,17.0,8.4,0.09457364341085273,1525.0,-88.36327868852459,1500.0,17.0,Low_Latency,Low_Latency,High
138,17.0,9.6,0.11063565891472868,1784.0,-85.97533632286995,1500.0,17.0,Low_Latency,Low_Latency,High
139,17.0,10.8,0.10902325581395347,1758.0,-92.86120591581344,1500.0,17.0,Low_Latency,Low_Latency,High
140,17.0,12.0,0.08514728682170543,1373.0,-95.27603787327021,1500.0,17.0,Low_Latency,Low_Latency,High
141,18.0,1.2,0.1025433448019969,1520.0,-80.60592105263156,2400.0,18.0,Low_Latency,Low_Latency,Medium
142,18.0,2.4,0.10888484112527827,1614.0,-93.5743494423792,2400.0,18.0,Low_Latency,Low_Latency,Medium
143,18.0,3.6,0.08203467584159753,1216.0,-95.20805921052632,2400.0,18.0,Low_Latency,Low_Latency,Medium
144,18.0,4.8,0.09269378668285773,1374.0,-95.05094614264921,2400.0,18.0,Low_Latency,Low_Latency,Medium
145,18.0,6.0,0.1245361937529515,1846.0,-86.56446370530878,2400.0,18.0,Low_Latency,Low_Latency,Medium
146,18.0,7.199999999999998,0.12871888281724347,1908.0,-88.96540880503143,2400.0,18.0,Low_Latency,Low_Latency,Medium
147,18.0,8.4,0.13337381096943934,1977.0,-94.25442589782499,2400.0,18.0,Low_Latency,Low_Latency,Medium
148,18.0,9.6,0.090804830331242,1346.0,-92.06537890044576,2400.0,18.0,Low_Latency,Low_Latency,Medium
149,18.0,10.8,0.09633677393240236,1428.0,-98.00490196078432,2400.0,18.0,Low_Latency,Low_Latency,Medium
150,18.0,12.0,0.04007285974499089,594.0,-100.13804713804714,2400.0,18.0,Low_Latency,Low_Latency,Medium
151,19.0,1.2,0.16231056446299144,1478.0,-87.49188092016239,3600.0,19.0,Low_Latency,Low_Latency,Low
152,19.0,2.4,0.10795080166922907,983.0,-97.40183112919634,3600.0,19.0,Low_Latency,Low_Latency,Low
153,19.0,3.6,0.05293213265978475,482.0,-99.87759336099585,3600.0,19.0,Low_Latency,Low_Latency,Low
154,19.0,4.8,0.07401713156160772,674.0,-98.87833827893176,3600.0,19.0,Low_Latency,Low_Latency,Low
155,19.0,6.0,0.1976718647045904,1800.0,-93.675,3600.0,19.0,Low_Latency,Low_Latency,Low
156,19.0,7.199999999999998,0.17625741269492642,1605.0,-95.95140186915887,3600.0,19.0,Low_Latency,Low_Latency,Low
